setpoint,position,motor control input,current
30.000000,27.000000,-0.120000,-0.302227
30.000000,26.000000,-0.140000,-0.282695
30.000000,27.000000,-0.120000,-0.443828
30.000000,27.000000,-0.120000,-0.219219
30.000000,27.000000,-0.120000,-0.321758
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.292461
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.292461
30.000000,26.000000,-0.140000,-0.282695
30.000000,27.000000,-0.120000,-0.429180
30.000000,27.000000,-0.120000,-0.219219
30.000000,27.000000,-0.120000,-0.311992
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.287578
30.000000,27.000000,-0.120000,-0.287578
30.000000,26.000000,-0.140000,-0.277812
30.000000,27.000000,-0.120000,-0.434062
30.000000,26.000000,-0.140000,-0.204570
30.000000,27.000000,-0.120000,-0.453594
30.000000,27.000000,-0.120000,-0.204570
30.000000,27.000000,-0.120000,-0.307109
30.000000,27.000000,-0.120000,-0.277812
30.000000,27.000000,-0.120000,-0.277812
30.000000,27.000000,-0.120000,-0.282695
30.000000,27.000000,-0.120000,-0.287578
30.000000,26.000000,-0.140000,-0.272930
30.000000,27.000000,-0.120000,-0.434062
30.000000,26.000000,-0.140000,-0.209453
0.000000,27.000000,0.561000,-0.448711
0.000000,26.000000,0.580000,2.730000
0.000000,26.000000,0.580000,0.786641
0.000000,26.000000,0.580000,1.592305
0.000000,26.000000,0.580000,1.333516
0.000000,25.000000,0.560000,1.221211
0.000000,24.000000,0.540000,0.869648
0.000000,23.000000,0.520000,0.698750
0.000000,22.000000,0.500000,0.532734
0.000000,20.000000,0.460000,0.410664
0.000000,19.000000,0.440000,0.195820
0.000000,18.000000,0.420000,0.171406
0.000000,17.000000,0.400000,0.103047
0.000000,16.000000,0.380000,0.063984
0.000000,15.000000,0.360000,0.044453
0.000000,14.000000,0.340000,0.010273
0.000000,13.000000,0.320000,0.000000
0.000000,12.000000,0.300000,-0.028789
0.000000,12.000000,0.300000,-0.048320
0.000000,11.000000,0.280000,0.024922
0.000000,10.000000,0.260000,-0.043437
0.000000,9.000000,0.240000,-0.067852
0.000000,8.000000,0.220000,-0.072734
0.000000,7.000000,0.200000,-0.111797
0.000000,7.000000,0.200000,-0.141094
0.000000,7.000000,0.200000,0.000000
0.000000,6.000000,0.180000,-0.023906
0.000000,6.000000,0.180000,-0.053203
0.000000,6.000000,0.180000,0.015156
0.000000,5.000000,0.160000,0.010273
0.000000,5.000000,0.160000,-0.053203
0.000000,4.000000,0.140000,0.015156
0.000000,4.000000,0.140000,-0.043437
0.000000,3.000000,0.120000,0.020039
0.000000,2.000000,0.100000,-0.092266
0.000000,2.000000,0.100000,-0.082500
0.000000,2.000000,0.100000,-0.033672
0.000000,1.000000,0.080000,0.000000
0.000000,1.000000,0.080000,-0.111797
0.000000,1.000000,0.080000,0.010273
0.000000,1.000000,0.080000,0.000000
0.000000,1.000000,0.080000,0.039570
0.000000,0.000000,0.060000,0.039570
0.000000,0.000000,0.060000,-0.067852
0.000000,0.000000,0.060000,0.010273
0.000000,0.000000,0.060000,0.029805
0.000000,0.000000,0.060000,0.000000
0.000000,0.000000,0.060000,0.034688
0.000000,0.000000,0.060000,0.020039
0.000000,0.000000,0.060000,0.049336
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.029805
0.000000,0.000000,0.060000,0.034688
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.020039
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.024922
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.034688
0.000000,0.000000,0.060000,0.039570
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.039570
0.000000,0.000000,0.060000,0.039570
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.039570
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.044453
0.000000,0.000000,0.060000,0.049336
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.034688
0.000000,0.000000,0.060000,0.044453
0.000000,0.000000,0.060000,0.049336
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.049336
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.059102
0.000000,0.000000,0.060000,0.054219
0.000000,0.000000,0.060000,0.063984
0.000000,0.000000,0.060000,0.059102
